w,l,g_x,gs_x,cg,sho,sv,ipouts,h_x,er,hr_x,bb_x,so_x,baopp,era,ibb_x,wp,hbp_x,bk,bfp,gf,r_x,weight,height,career_length,HoF_nomination,"(1929.9, 1939.9]","(1939.9, 1949.9]","(1949.9, 1959.9]","(1959.9, 1969.9]","(1969.9, 1979.9]","(1979.9, 1989.9]","(1989.9, 1999.9]","(1999.9, 2009.9]","(2009.9, 2019.9]"
5.076923076923077,4.615384615384615,34.46153846153846,7.0,1.6923076923076923,0.38461538461538464,6.3076923076923075,256.0,83.46153846153847,36.0,6.846153846153846,35.15384615384615,49.30769230769231,0.24692307692307697,3.4930769230769227,3.4615384615384617,1.6153846153846154,0.5384615384615384,0.23076923076923078,363.84615384615387,18.0,38.69230769230769,190.0,75.0,4817.0,0.0,0,0,0,0,0,1,0,0,0
5.166666666666667,6.916666666666667,20.666666666666668,17.166666666666668,3.0833333333333335,0.4166666666666667,0.0,321.5,117.08333333333333,52.25,13.5,29.333333333333332,40.333333333333336,0.27499999999999997,4.331666666666666,2.3333333333333335,1.5,2.6666666666666665,0.4166666666666667,459.0833333333333,1.0833333333333333,58.916666666666664,200.0,78.0,4028.0,0.0,0,0,0,0,1,0,0,0,0
7.909090909090909,9.818181818181818,23.90909090909091,23.09090909090909,2.8181818181818183,0.5454545454545454,0.0,456.54545454545456,161.72727272727272,71.9090909090909,14.0,56.36363636363637,80.72727272727273,0.23700000000000002,4.496363636363636,2.727272727272727,4.818181818181818,2.909090909090909,1.0,655.5454545454545,0.45454545454545453,80.0,200.0,75.0,3756.0,1.0,0,0,0,0,0,0,1,0,0
3.5833333333333335,3.0833333333333335,13.5,9.333333333333334,0.08333333333333333,0.0,0.0,180.16666666666666,56.833333333333336,32.833333333333336,8.416666666666666,32.75,41.333333333333336,0.24336363636363637,5.511666666666667,1.4166666666666667,3.0833333333333335,1.75,0.0,265.5833333333333,1.4166666666666667,35.083333333333336,185.0,75.0,5100.0,0.0,0,0,0,0,0,0,1,0,0
3.7058823529411766,4.0588235294117645,40.05882352941177,2.0,0.4117647058823529,0.11764705882352941,8.705882352941176,202.52941176470588,59.411764705882355,25.941176470588236,4.117647058823529,34.8235294117647,45.0,0.24411764705882355,3.9652941176470593,4.705882352941177,2.0588235294117645,2.6470588235294117,0.17647058823529413,291.94117647058823,24.470588235294116,30.176470588235293,215.0,76.0,6380.0,0.0,0,0,0,1,0,0,0,0,0
2.75,4.083333333333333,38.916666666666664,2.6666666666666665,0.0,0.0,2.5,226.08333333333334,76.5,33.25,6.833333333333333,27.416666666666668,40.166666666666664,0.2658333333333333,3.9600000000000004,3.3333333333333335,2.5833333333333335,2.6666666666666665,0.16666666666666666,322.3333333333333,13.25,37.25,210.0,74.0,3356.0,0.0,0,0,0,0,0,1,0,0,0
4.25,5.166666666666667,47.833333333333336,3.4166666666666665,0.0,0.0,3.5,217.33333333333334,74.16666666666667,33.583333333333336,5.25,31.666666666666668,57.583333333333336,0.25627272727272726,5.0058333333333325,2.75,4.5,1.4166666666666667,0.5,316.75,16.75,37.333333333333336,180.0,75.0,3574.0,0.0,0,0,0,0,0,0,0,1,0
2.6666666666666665,2.2,36.2,0.13333333333333333,0.0,0.0,1.9333333333333333,125.26666666666667,42.6,18.6,2.0,16.533333333333335,20.466666666666665,0.298,5.676666666666667,3.1333333333333333,1.4,2.0,0.4666666666666667,180.86666666666667,13.2,20.866666666666667,190.0,74.0,4303.0,0.0,0,0,0,0,0,1,0,0,0
4.526315789473684,4.2631578947368425,38.526315789473685,4.684210526315789,0.5263157894736842,0.0,16.736842105263158,203.89473684210526,64.89473684210526,26.94736842105263,7.2631578947368425,18.473684210526315,54.21052631578947,0.21450000000000002,3.496315789473685,2.210526315789474,2.789473684210526,1.894736842105263,0.5263157894736842,283.7368421052632,29.31578947368421,29.894736842105264,195.0,76.0,5565.0,1.0,0,0,0,0,0,0,1,0,0
4.6875,4.5,27.9375,9.3125,2.75,0.5625,2.0625,257.9375,76.0,31.0,7.6875,29.9375,53.5,0.24000000000000005,3.2118749999999996,2.1875,2.1875,2.9375,0.5625,361.875,7.75,35.125,205.0,76.0,5401.0,0.0,0,0,0,1,0,0,0,0,0
3.357142857142857,3.2142857142857144,35.357142857142854,0.0,0.0,0.0,8.785714285714286,159.85714285714286,48.5,19.428571428571427,4.571428571428571,19.571428571428573,28.857142857142858,0.25,3.8542857142857145,4.857142857142857,0.9285714285714286,2.857142857142857,0.0,224.57142857142858,22.928571428571427,22.285714285714285,190.0,74.0,3799.0,1.0,0,0,0,1,0,0,0,0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,180.0,71.0,3777.0,0.0,0,0,0,0,0,0,1,0,0
1.6666666666666667,3.25,19.083333333333332,5.583333333333333,0.08333333333333333,0.0,0.08333333333333333,124.91666666666667,48.416666666666664,27.833333333333332,6.5,19.166666666666668,26.0,0.24218181818181816,6.163333333333334,1.6666666666666667,2.5,1.5833333333333333,0.16666666666666666,188.91666666666666,2.4166666666666665,29.666666666666668,195.0,76.0,3550.0,0.0,0,0,0,0,0,0,1,0,0
8.434782608695652,7.565217391304348,24.391304347826086,20.17391304347826,4.260869565217392,0.782608695652174,0.13043478260869565,439.2608695652174,146.7826086956522,61.130434782608695,14.08695652173913,42.52173913043478,66.43478260869566,0.25652173913043486,3.854782608695652,2.608695652173913,3.217391304347826,2.3043478260869565,0.43478260869565216,615.7391304347826,2.4347826086956523,67.0,190.0,75.0,6668.0,1.0,0,0,0,0,0,1,0,0,0
